Open,High,Low,Close*,Volume(T)
9156.8,9291.73,8815.01,8997.42,13.347
9003.48,9189.0,8815.01,9119.76,9.159
9121.68,9236.75,9014.0,9183.88,23.856
9196.92,9223.5,9059.6,9150.0,10.544
9145.99,9309.75,9088.0,9232.49,20.553
9239.99,9297.2,8938.0,9094.21,16.457
9091.46,9265.0,8938.0,9068.97,10.141
9049.93,9195.84,9039.84,9125.18,7.405
9141.6,9145.0,8905.84,9078.97,7.103
9090.0,9375.9,9061.59,9330.72,15.799
9344.61,9379.34,9061.59,9244.12,11.357
9260.87,9480.0,9232.2,9442.42,20.228
9443.99,9479.4,9154.79,9231.43,13.036
9236.96,9446.62,9118.0,9282.33,10.676
9289.63,9322.23,9118.0,9231.6,5.261
9233.84,9347.53,9159.33,9293.64,7.965
9298.97,9367.7,9159.33,9246.65,6.646
9236.9,9298.97,9095.0,9256.62,11.567
9256.38,9298.97,9100.0,9199.09,11.632
9189.65,9216.02,9005.0,9135.29,13.84
9133.95,9185.93,9054.99,9158.08,9.146
9153.67,9210.0,9122.65,9174.9,5.884
9175.72,9245.03,9105.37,9220.26,5.464
9220.94,9224.6,9131.0,9163.27,17.769
9157.05,9438.0,9157.04,9389.01,14.886
9389.83,9567.77,9157.04,9527.32,14.771
9535.3,9686.0,9450.04,9606.67,19.217
9609.22,9645.55,9474.47,9544.57,14.448
9548.23,9747.76,9536.64,9695.91,10.465
9701.88,10190.71,9661.35,9939.11,18.773
9947.12,11420.0,9935.0,11058.0,60.553
11160.91,11259.0,10575.0,10943.04,38.882
10980.6,11350.0,10843.47,11121.66,26.712
11006.89,11188.65,10811.0,11138.94,18.886
11141.38,11460.0,10975.0,11349.58,23.167
11395.58,11888.0,11237.82,11816.29,27.916
12316.02,12883.48,11069.35,11069.35,27.911
11072.1,11486.6,10827.9,11235.61,28.872
11260.69,11417.11,11006.16,11186.16,17.453
11196.35,11798.87,11006.16,11746.86,22.932
11789.63,11916.68,11580.01,11787.1,24.619
11789.63,11916.68,11580.01,11787.1,24.619
11773.11,11920.0,11350.0,11581.51,30.911
11579.19,11818.18,11529.45,11749.04,10.66
11793.0,11810.24,11532.04,11674.26,10.371
11695.35,12099.93,11470.01,11873.17,33.786
11896.76,12086.22,11120.0,11401.15,30.135
11390.29,11943.0,11120.0,11580.29,15.147
11575.19,11802.09,11274.14,11778.7,21.633
11777.02,11865.97,11274.14,11776.37,18.857
11804.74,11989.98,11688.0,11867.94,17.519
11861.37,11940.0,11686.53,11907.92,12.275
11937.84,12486.61,11775.0,12295.77,33.724
12288.5,12486.61,11775.0,11986.12,26.41
11811.48,11972.71,11569.0,11748.63,41.653
11732.69,11972.71,11569.0,11875.77,13.906
11866.03,11892.16,11480.0,11528.5,19.974
11517.89,11693.03,11370.0,11685.29,11.95
11684.75,11721.6,11370.0,11662.34,4.475
11658.84,11823.62,11592.91,11773.65,10.573
11759.98,11777.15,11102.73,11370.77,22.483
11330.7,11769.76,11102.73,11466.16,13.452
11461.78,11597.92,11125.0,11318.45,19.94
11300.0,11597.92,11125.0,11531.15,15.507
11535.0,11585.66,11282.09,11470.46,7.832
11465.69,11713.69,11465.1,11698.06,5.982
11721.84,11784.66,11576.0,11675.82,13.433
11660.3,12086.0,11525.09,11984.22,23.213
